timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1493118628581,60070,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-59,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118628624,60046,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-60,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118628756,60065,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-62,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118628754,60064,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-61,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118628901,60054,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-63,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118628978,60076,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-64,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118628999,60081,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-65,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629041,60079,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-66,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629081,60076,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-67,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
1493118629131,60042,TCP_Report_ICall_HB_TextPush,500,org.apache.jmeter.protocol.tcp.sampler.ReadException: ,线程组 2-68,text,true,,40,1000,1000,null,,0,UTF-8,1,0,testcrm.localdomain,0,0
